culture_id,well,condition_id,plate_id,plate_barcode,status,parent_culture_id,reagent_name,reagent_volume_uL,n_timepoints,growth_rate_per_hr,t_inflection_hours,max_absorbance_OD600,max_cell_concentration_cells_per_mL,fit_r2,fit_rmse
CLTR1R3VOBD7ANKX2WL3HHRQCA6HDYQ,B10,HB-2_BayBE_1,PLT145RIEW6K4ZTEUG4OOFQJQAXHL4,CellAI Experiment Plate 3,Active,CLTR1T4GWPCF4XNUORSPZMUHOTAU25Q,"High Buffer Defined, Na L-Glutamate, Tryptone, Water, Yeast Extract","110.0, 12.0, 28.0, 15.0, 15.0",5,7.096193,0.4769,0.3258,325800000,0.996766,0.000942
CLTR1BRPJO5ZXAU6NVTBE3N37WYX2CU,B11,NB-CTL_1,PLT145RIEW6K4ZTEUG4OOFQJQAXHL4,CellAI Experiment Plate 3,Active,CLTR1T4GWPCF4XNUORSPZMUHOTAU25Q,Novel Bio Cyclone,180.0,5,8.402298,0.3468,0.2624,262400000,0.994055,0.00214
CLTR1TJCSAF2UH3SWTFRZFCFQTPXTLI,B2,HBD-Metals_1,PLT145RIEW6K4ZTEUG4OOFQJQAXHL4,CellAI Experiment Plate 3,Active,CLTR1T4GWPCF4XNUORSPZMUHOTAU25Q,"High Buffer Defined, MgSO4, Na L-Glutamate, Trace Metals, Tryptone, Yeast Extract","122.0, 4.0, 10.0, 4.0, 26.0, 14.0",5,6.925374,0.3682,0.5124,512399999,0.983554,0.002979
CLTR1Z7F32QPVHASRV2DCXUCB4WA6KA,B3,HBD-Metals_1,PLT145RIEW6K4ZTEUG4OOFQJQAXHL4,CellAI Experiment Plate 3,Active,CLTR1T4GWPCF4XNUORSPZMUHOTAU25Q,"High Buffer Defined, MgSO4, Na L-Glutamate, Trace Metals, Tryptone, Yeast Extract","122.0, 4.0, 10.0, 4.0, 26.0, 14.0",5,7.326106,0.4045,0.3755,375500000,0.993406,0.00106
CLTR1Q6GXCG2DRE7RDIHCW45LWMANRU,B4,HBD-Metals_1,PLT145RIEW6K4ZTEUG4OOFQJQAXHL4,CellAI Experiment Plate 3,Active,CLTR1T4GWPCF4XNUORSPZMUHOTAU25Q,"High Buffer Defined, MgSO4, Na L-Glutamate, Trace Metals, Tryptone, Yeast Extract","122.0, 4.0, 10.0, 4.0, 26.0, 14.0",5,7.301966,0.4198,0.4394,439400000,0.992359,0.001566
CLTR1RXYEE5AK5FGA3DXMZ53Q2VUMBA,B5,HB-1_BayBE_1,PLT145RIEW6K4ZTEUG4OOFQJQAXHL4,CellAI Experiment Plate 3,Active,CLTR1T4GWPCF4XNUORSPZMUHOTAU25Q,"High Buffer Defined, Na L-Glutamate, Tryptone, Water, Yeast Extract","110.0, 6.8, 15.5, 23.0, 24.7",5,7.998926,0.4176,0.3882,388200000,0.995808,0.001463
CLTR1BVQWD6GSR5XAU64LJDCT5XD3ZY,B6,HB-1_BayBE_1,PLT145RIEW6K4ZTEUG4OOFQJQAXHL4,CellAI Experiment Plate 3,Active,CLTR1T4GWPCF4XNUORSPZMUHOTAU25Q,"High Buffer Defined, Na L-Glutamate, Tryptone, Water, Yeast Extract","110.0, 6.8, 15.5, 23.0, 24.7",5,7.578084,0.4345,0.3735,373500000,0.995658,0.001492
CLTR1IXAGTYZMARHY2OGV35XVE24BDQ,B7,HB-1_BayBE_1,PLT145RIEW6K4ZTEUG4OOFQJQAXHL4,CellAI Experiment Plate 3,Active,CLTR1T4GWPCF4XNUORSPZMUHOTAU25Q,"High Buffer Defined, Na L-Glutamate, Tryptone, Water, Yeast Extract","110.0, 6.8, 15.5, 23.0, 24.7",5,7.554555,0.4402,0.3523,352300000,0.99557,0.001542
CLTR1RTEZTODQOYHMGTX3VM7NTRRYZM,B8,HB-2_BayBE_1,PLT145RIEW6K4ZTEUG4OOFQJQAXHL4,CellAI Experiment Plate 3,Active,CLTR1T4GWPCF4XNUORSPZMUHOTAU25Q,"High Buffer Defined, Na L-Glutamate, Tryptone, Water, Yeast Extract","110.0, 12.0, 28.0, 15.0, 15.0",5,7.560844,0.4543,0.3295,329500000,0.996962,0.001034
CLTR1M7RTXA32CDOQCCDNDSPDWHPUXQ,B9,HB-2_BayBE_1,PLT145RIEW6K4ZTEUG4OOFQJQAXHL4,CellAI Experiment Plate 3,Active,CLTR1T4GWPCF4XNUORSPZMUHOTAU25Q,"High Buffer Defined, Na L-Glutamate, Tryptone, Water, Yeast Extract","110.0, 12.0, 28.0, 15.0, 15.0",5,8.007275,0.4471,0.2914,291400000,0.995054,0.001308
