culture_id,well,condition_id,plate_id,n_timepoints,growth_rate_per_hr,t_inflection_hours,max_absorbance_OD600,fit_r2,fit_rmse
FAKE001,B2,B-F1-R1,FAKE_PLT001,8,7.52,0.41,0.91,0.997,0.0008
FAKE002,B3,B-F1-R1,FAKE_PLT001,8,7.38,0.43,0.89,0.995,0.0010
FAKE003,B4,B-F2-R1,FAKE_PLT001,8,4.21,0.82,0.55,0.991,0.0015
FAKE004,B5,B-F2-R1,FAKE_PLT001,8,4.35,0.79,0.57,0.993,0.0013
FAKE005,B6,B-F3-R1,FAKE_PLT001,8,5.84,0.59,0.74,0.996,0.0009
FAKE006,B7,B-F3-R1,FAKE_PLT001,8,5.71,0.61,0.72,0.994,0.0011
FAKE007,C2,B-F4-R1,FAKE_PLT001,8,3.12,1.10,0.41,0.988,0.0018
FAKE008,C3,B-F4-R1,FAKE_PLT001,8,3.24,1.05,0.43,0.990,0.0016
FAKE009,C4,B-F5-R1,FAKE_PLT001,8,6.91,0.48,0.83,0.998,0.0007
FAKE010,C5,B-F5-R1,FAKE_PLT001,8,6.78,0.50,0.81,0.997,0.0008
FAKE011,C6,B-F6-R1,FAKE_PLT001,8,3.82,0.95,0.49,0.989,0.0017
FAKE012,C7,B-F6-R1,FAKE_PLT001,8,3.69,0.98,0.47,0.987,0.0019
